NomeTime,PosseDeBola,Escanteios,ChutesAGol,Impedimentos,Gols,Resultado
Sergipe,65,9,6,1,1,empate
Barra,35,0,2,0,1,empate
Dorense,55,4,1,1,0,derrota
Falcon,45,3,5,1,2,vitoria
Lagarto,55,2,5,0,1,derrota
América,45,1,2,0,2,vitoria
Confiança,60,6,10,2,5,vitoria
Guarany,40,5,6,3,1,derrota
Itabaiana,54,8,3,1,2,vitoria
Carmópolis,46,1,4,1,1,derrota
Dorense,45,1,0,2,0,derrota
América,55,5,2,2,1,vitoria
Barra,43,0,1,0,1,derrota
Lagarto,57,2,6,0,4,vitoria
Sergipe,47,8,2,1,2,vitoria
Carmópolis,53,4,5,1,1,derrota
Guarany,46,7,3,1,1,empate
Itabaiana,54,9,6,1,1,empate
Falcon,53,3,6,0,1,derrota
Confiança,47,6,8,0,3,vitoria
América,45,3,4,2,1,empate
Confiança,55,3,5,0,1,empate
Barra,41,7,2,3,0,derrota
Falcon,59,5,4,1,4,vitoria
Dorense,55,3,3,1,0,empate
Carmópolis,45,5,1,5,0,empate
Lagarto,50,7,10,1,3,vitoria
Guarany,50,1,5,3,1,derrota
Sergipe,48,7,3,0,1,empate
Itabaiana,52,2,4,3,1,empate
Confiança,58,5,7,3,0,empate
Carmópolis,42,2,2,4,0,empate
Barra,55,1,1,0,0,empate
Guarany,55,1,3,1,0,empate
América,45,6,5,0,0,empate
Itabaiana,55,7,5,1,0,empate
Sergipe,58,11,9,1,0,empate
Falcon,42,1,1,1,0,empate
Dorense,45,3,2,2,0,empate
Lagarto,55,4,8,3,0,empate
Lagarto,54,7,4,3,0,empate
Confiança,46,6,7,3,0,empate
Sergipe,45,5,4,0,1,vitoria
Dorense,55,2,2,1,0,derrota
América,60,3,7,1,0,empate
Guarany,40,6,3,4,0,empate
Falcon,59,1,3,0,0,empate
Itabaiana,41,2,6,0,0,empate
Barra,39,5,6,1,3,vitoria
Carmópolis,61,3,2,3,2,derrota
Sergipe,38,1,3,3,0,empate
Confiança,62,6,5,4,0,empate
Lagarto,50,0,5,0,0,empate
Itabaiana,50,0,1,1,0,empate
Dorense,55,2,5,0,0,empate
Guarany,45,2,2,1,0,empate
Falcon,57,8,7,1,0,empate
Carmópolis,43,2,5,1,0,empate
Barra,55,5,9,1,0,empate
América,45,2,3,3,0,empate
Barra,40,1,2,0,0,empate
Confiança,60,4,12,1,0,empate
América,50,3,6,2,0,empate
Carmópolis,50,0,4,0,0,empate
Falcon,45,1,2,0,0,derrota
Guarany,55,3,5,0,2,vitoria
Dorense,40,3,3,1,0,empate
Itabaiana,60,4,8,4,0,empate
Sergipe,51,8,5,3,0,empate
Lagarto,49,8,9,1,0,empate
Confiança,59,7,4,1,0,empate
Itabaiana,41,0,2,0,0,empate
Sergipe,42,0,7,1,4,vitoria
Guarany,58,2,3,1,0,derrota
Lagarto,59,6,7,3,1,empate
Carmópolis,41,0,3,4,1,empate
Barra,48,2,4,2,0,derrota
Dorense,52,3,7,1,2,vitoria
Falcon,63,10,2,1,0,derrota
América,37,1,2,4,1,vitoria
Barra,40,2,3,0,2,derrota
Itabaiana,60,2,8,1,4,vitoria
Dorense,55,2,5,1,2,vitoria
Confiança,45,1,2,0,1,derrota
Falcon,50,2,3,2,0,derrota
Lagarto,50,5,6,1,3,vitoria
Sergipe,53,5,4,3,0,derrota
América,47,5,4,1,1,vitoria
Guarany,60,3,3,1,2,vitoria
Carmópolis,40,2,4,1,1,derrota
Sergipe,56,8,7,0,0,derrota
Itabaiana,44,2,2,1,2,vitoria
Falcon,40,3,4,2,0,empate
Lagarto,60,8,4,0,0,empate
América,42,2,4,2,1,vitoria
Guarany,58,6,1,0,0,derrota
América,57,3,3,0,1,empate
Itabaiana,43,4,4,2,1,empate
Falcon,50,0,4,0,1,derrota
Confiança,50,1,4,0,2,vitoria
América,45,2,5,2,0,derrota
Itabaiana,55,2,4,2,1,vitoria
Falcon,52,3,4,1,0,derrota
Confiança,48,1,5,1,3,vitoria
Confiança,45,7,4,0,2,vitoria
Itabaiana,55,10,5,2,1,derrota
Confiança,42,3,2,0,1,empate
Itabaiana,28,9,5,2,1,empate
