Team,Games,Victories,Draws,Defeats,Goals_Scored,Avg_Possession,Avg_Corners,Avg_Shots,Win_Rate
América,12,5,6,1,8,47.75,3.0,3.9166666666666665,41.66666666666667
Confiança,13,5,7,1,18,52.07692307692308,4.3076923076923075,5.769230769230769,38.46153846153847
Sergipe,10,3,5,2,9,50.3,6.2,5.0,30.0
Lagarto,10,3,6,1,12,53.9,4.9,6.4,30.0
Itabaiana,14,4,9,1,14,49.42857142857143,4.357142857142857,4.5,28.57142857142857
Dorense,9,2,4,3,4,50.77777777777778,2.5555555555555554,3.111111111111111,22.22222222222222
Guarany,10,2,4,4,7,50.7,3.6,3.4,20.0
Falcon,12,2,4,6,8,51.25,3.3333333333333335,3.75,16.666666666666664
Barra,9,1,4,4,7,44.0,2.5555555555555554,3.3333333333333335,11.11111111111111
Carmópolis,9,0,5,4,6,46.77777777777778,2.111111111111111,3.3333333333333335,0.0
